Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-000165,2020-01,1/1/2020 19:10,Y, , ,1, ,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,3515,NATURAL BRIDGE AVE,67,POPEYES, ,3515,NATURAL BRIDGE,901382.6,1029659
20-000186,2020-01,1/1/2020 19:30,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500,12,HAMPTON VILLAGE PLZ,7,HAMPTON VILLAGE SHOPPING CENTER, , , ,879631.8,1004932
20-000899,2020-01,1/1/2020 19:30,Y, , ,1, ,72113,5,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,HODIAMONT AVE / RIDGE AVE,78, , , , ,881026.1,1033811
20-000169,2020-01,1/1/2020 19:45,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1914,E GRAND BLVD,66, , ,1914,GRAND,903609.4,1033103
20-000175,2020-01,1/1/2020 19:45,Y, , ,1, ,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,12,HAMPTON VILLAGE PLZ,7, , ,12,HAMPTON VILLAGE,879631.8,1004932
20-000170,2020-01,1/1/2020 19:55,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,FOREST PARK AVE / S SARAH ST,38, , , , ,892450.9,1020539
20-000172,2020-01,1/1/2020 19:56,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3958,MISSOURI AVE,18, , ,3958,MISSOURI,898797.7,1000995
20-000179,2020-01,1/1/2020 19:59,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3700,GOODFELLOW BLVD,70,CROWN FOOD MART, , , ,885667.2,1038805
20-000181,2020-01,1/1/2020 20:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,@HAMPTON VILLAGE : XY(87948919,7,HAMPTON VILLAGE, , , ,879489.2,1004769
20-000174,2020-01,1/1/2020 20:00,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3951,SCHILLER PL,5, , ,3951,SCHILLER,888551.2,998132
20-000178,2020-01,1/1/2020 20:23,Y, , ,1, ,182130,3,DRUGS-POSSESSION/HEROIN,4164,S GRAND BLVD,16, , ,4164,GRAND,893428.3,1000548
20-000328,2020-01,1/1/2020 20:30,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1025,SPRUCE ST,35, , ,1025,SPRUCE,906589.4,1016244
